# PyTorch INT8 Model Memory Layout Analysis
# Format: PARAM name shape size_bytes dtype
# Followed by: PAGE page_index start_byte end_byte num_bytes
TOTAL_PARAMS 309
PAGE_SIZE 4096

PARAM stage_1.0.output.quan_layer_branch.weight 10x16384 163840 torch.int8
PAGE 0 0 4095 4096
PAGE 1 0 4095 4096
PAGE 2 0 4095 4096
PAGE 3 0 4095 4096
PAGE 4 0 4095 4096
PAGE 5 0 4095 4096
PAGE 6 0 4095 4096
PAGE 7 0 4095 4096
PAGE 8 0 4095 4096
PAGE 9 0 4095 4096
PAGE 10 0 4095 4096
PAGE 11 0 4095 4096
PAGE 12 0 4095 4096
PAGE 13 0 4095 4096
PAGE 14 0 4095 4096
PAGE 15 0 4095 4096
PAGE 16 0 4095 4096
PAGE 17 0 4095 4096
PAGE 18 0 4095 4096
PAGE 19 0 4095 4096
PAGE 20 0 4095 4096
PAGE 21 0 4095 4096
PAGE 22 0 4095 4096
PAGE 23 0 4095 4096
PAGE 24 0 4095 4096
PAGE 25 0 4095 4096
PAGE 26 0 4095 4096
PAGE 27 0 4095 4096
PAGE 28 0 4095 4096
PAGE 29 0 4095 4096
PAGE 30 0 4095 4096
PAGE 31 0 4095 4096
PAGE 32 0 4095 4096
PAGE 33 0 4095 4096
PAGE 34 0 4095 4096
PAGE 35 0 4095 4096
PAGE 36 0 4095 4096
PAGE 37 0 4095 4096
PAGE 38 0 4095 4096
PAGE 39 0 4095 4096
PARAM stage_1.1.output.quan_layer_branch.weight 10x16384 163840 torch.int8
PAGE 40 0 4095 4096
PAGE 41 0 4095 4096
PAGE 42 0 4095 4096
PAGE 43 0 4095 4096
PAGE 44 0 4095 4096
PAGE 45 0 4095 4096
PAGE 46 0 4095 4096
PAGE 47 0 4095 4096
PAGE 48 0 4095 4096
PAGE 49 0 4095 4096
PAGE 50 0 4095 4096
PAGE 51 0 4095 4096
PAGE 52 0 4095 4096
PAGE 53 0 4095 4096
PAGE 54 0 4095 4096
PAGE 55 0 4095 4096
PAGE 56 0 4095 4096
PAGE 57 0 4095 4096
PAGE 58 0 4095 4096
PAGE 59 0 4095 4096
PAGE 60 0 4095 4096
PAGE 61 0 4095 4096
PAGE 62 0 4095 4096
PAGE 63 0 4095 4096
PAGE 64 0 4095 4096
PAGE 65 0 4095 4096
PAGE 66 0 4095 4096
PAGE 67 0 4095 4096
PAGE 68 0 4095 4096
PAGE 69 0 4095 4096
PAGE 70 0 4095 4096
PAGE 71 0 4095 4096
PAGE 72 0 4095 4096
PAGE 73 0 4095 4096
PAGE 74 0 4095 4096
PAGE 75 0 4095 4096
PAGE 76 0 4095 4096
PAGE 77 0 4095 4096
PAGE 78 0 4095 4096
PAGE 79 0 4095 4096
PARAM stage_1.2.output.quan_layer_branch.weight 10x16384 163840 torch.int8
